End of Year,Total Membership,Children of Record,Baptisms of Children of Record,Convert Baptisms,Total Baptisms,Convert Children of Record,Births to Active Members,Mormon Birth Rate,Mormon Death Rate,Mormon Life Expectancy,Birth Rate (Fractional),Children per Woman,Female/Male Ratio,Stakes,Missions,Wards and Branches,Wards and Branches in Stakes,Branches,Wards,Branches in Stakes,Branches in Missions,Members in Stakes,Members in Missions,Members per Ward,Sunday School Attendance,Full Time Missionaries,New Missionaries,Average Mission Length (years),New Senior Missionaries,New Male Missionaries,New Female Missionaries,Total Senior Missionaries,Total Male Missionaries,Total Female Missionaries,15 Y/O,16 Y/O,17 Y/O,18 Y/O,19 Y/O,Seminary Enrollment,Activity by Births,Activity by Ward Size,Activity by Stake Size,Activity by Sunday School Attendance,Activity by Missionaries,Activity by Seminary Enrollment,Activity Rate,Gone Inactive,Active Mormons,Inactive Mormons,Deaths of Active Members,Inactives who reach Age 110,Record Adjustments,"Names Removed
Raw",Manual Corrections,Cumulative Corrections,Names Removed,Former Mormons
1913,"431,607","16,214","10,544","4,316","14,860",505,"15,709",37,9.3,52.65,1.037,,0.476,66,22,"1,399",749,675,724,27,650,"347,195","84,412",470,,"2,000",858,1.87,,,,,"1,895",105,"13,522","12,999","12,497","12,123","11,806",70,100,37.2,25.7,,,0.1,37.2,"12,526","160,558","271,049","1,469","1,708",,"-2,369","2,424","-36,828",55,"11,309"
1914,"454,718","14,717","10,395","4,547","14,942",532,"14,185",39.5,8.3,54.4,1.0395,,0.4771,68,21,"1,373",772,634,739,33,601,"359,316","95,402",475,,"1,431",684,1.85,,648,36,,"1,316",115,"13,855","13,582","13,059","12,557","12,184",80,81,36.8,25.5,,10.3,0.2,36.8,"11,074","167,336","287,382","1,354","1,673",,"-11,196","11,254","-25,574",58,"11,273"
1915,"466,238","15,029","10,247","4,662","14,909",545,"14,484",40.2,8.3,54.65,1.0402,,0.4782,72,21,"1,391",783,594,797,36,608,"371,436","94,802",455,,"1,201",621,1.84,,571,50,,"1,091",110,"14,199","13,917","13,644","13,121","12,619",90,78.2,38.5,26.2,,8.8,0.2,38.5,"5,994","179,502","286,736","1,471","1,588",,330,-270,"-25,844",60,"11,239"
1916,"477,321","15,340","10,098","4,773","14,871",558,"14,782",38.6,8.2,51.95,1.0386,,0.4792,73,22,"1,367",808,598,769,39,559,"383,557","93,764",486,,"1,242",722,1.85,,656,66,,"1,128",114,"14,046","14,263","13,981","13,708","13,185",337,81.2,36,25.7,,9.8,0.6,36,"26,325","171,836","305,485","1,393","1,614",,781,-720,"-26,564",61,"11,207"
1917,"488,038","15,652","9,950","4,880","14,830",571,"15,081",37,8.1,51.2,1.037,,0.4803,75,22,"1,453",875,620,833,42,578,"395,677","92,361",463,,"1,157",543,1.83,,493,50,,"1,050",107,"13,566","14,111","14,328","14,046","13,772",703,84.4,37.8,25.6,,7,1.3,37.8,"6,349","184,478","303,560","1,478","1,534",,"1,101","-1,038","-27,602",63,"11,179"
1918,"495,962","15,963","9,801","4,960","14,761",580,"15,383",37.3,11.69,39.4,1.0373,,0.4814,75,22,"1,452",893,604,848,45,559,"407,798","88,164",468,,693,245,1.76,,222,23,,628,65,"13,942","13,632","14,177","14,394","14,112","1,030",83.8,37.4,24.8,,3.1,1.8,37.4,"17,696","185,490","310,472","2,151","1,511",,"3,175","-3,111","-30,713",64,"11,112"
1919,"507,961","17,456","11,669","5,080","16,749",594,"16,862",37.7,8.7,54.75,1.0377,,0.4825,79,23,"1,442",888,602,840,48,554,"419,918","88,043",486,,"1,398","1,211",1.92,,"1,097",114,,"1,267",131,"15,111","14,010","13,700","14,245","14,461","1,528",89.1,36,25.4,,14.8,2.7,36,"23,523","182,866","325,095","1,572","1,515",,"1,663","-1,598","-32,311",65,"11,080"
1920,"525,987","18,948","13,536","5,260","18,796",615,"18,333",38,9,54.1,1.038,,0.4836,83,24,"1,527",904,674,853,51,623,"432,039","93,948",491,,"2,006",889,1.91,,806,83,,"1,817",189,"15,194","15,181","14,079","13,770","14,315","3,272",93.3,35.6,25.9,,10.8,5.6,35.6,"18,100","187,251","338,736","1,656","1,495",,"-2,381","2,448","-29,863",67,"11,047"
1921,"548,803","20,441","15,404","7,113","22,517",832,"19,609",37.3,8.2,60.9,1.0373,,0.484,86,25,"1,598",933,719,879,54,665,"444,159","104,644",490,,"1,688",880,2.01,,797,83,,"1,528",160,"15,458","15,289","15,276","14,174","13,865","2,982",97.8,35.7,26.1,,11,5,35.7,"17,239","195,923","352,880","1,573","1,466",,"-3,338","3,408","-26,454",70,"11,026"
1922,"566,358","19,703","14,440","6,376","20,816",746,"18,957",36,8.3,59.7,1.036,,0.4845,87,25,"1,607",946,724,883,61,661,"456,280","110,078",499,,"1,775",886,2.21,,802,84,,"1,606",169,"16,157","15,543","15,374","15,361","14,259","3,040",94.4,35.1,25.7,,11.1,4.9,35.1,"21,514","198,792","367,566","1,624","1,455",,182,-110,"-26,565",72,"11,006"
1923,"575,896","19,199","13,020","7,492","20,512",877,"18,322",35,7.2,57.3,1.035,,0.4849,90,26,"1,659",962,763,896,66,697,"468,400","107,496",504,,"1,881",812,2.24,,735,77,,"1,700",181,"15,758","16,256","15,643","15,473","15,460","4,976",91.7,34.7,25.9,,9.6,7.9,34.7,"24,146","199,836","376,060","1,427","1,440",,"8,107","-8,033","-34,597",74,"11,000"
1924,"597,861","19,955","14,047","7,556","21,603",884,"19,071",33,7.3,59.8,1.033,,0.4854,94,25,"1,685",969,778,907,70,716,"480,521","117,340",509,,"1,871",867,2.58,,784,83,,"1,690",181,"15,787","15,859","16,357","15,743","15,574","6,401",98.5,34.4,26.4,,9.8,10,34.4,"20,133","205,664","392,197","1,474","1,425",,"-3,261","3,337","-31,260",76,"10,995"
1925,"613,572","20,233","14,390","6,373","20,763",746,"19,487",32,6.7,59.1,1.032,,0.4858,94,28,"1,705",985,796,909,76,720,"490,381","123,191",517,,"2,500","1,131",1.91,,"1,022",109,,"2,257",243,"15,925","15,872","15,943","16,442","15,828","8,527",100,33.8,25.9,,12.7,13.3,33.8,"23,432","207,387","406,185","1,372","1,418",,"2,262","-2,183","-33,444",79,"11,000"
1926,"623,909","19,701","15,024","6,663","21,687",780,"18,921",31,7.7,56.75,1.031,,0.4862,96,28,"1,731",992,816,915,77,739,"500,240","123,669",524,,"2,260","1,236",1.94,,"1,116",120,,"2,039",221,"16,532","16,013","15,961","16,032","16,530","10,376",98.6,33.4,25.9,,13.4,16.1,33.4,"23,694","208,386","415,523","1,591","1,407",,"8,352","-8,272","-41,715",80,"10,995"
1927,"644,745","19,209","14,604","6,367","20,971",745,"18,464",30,7.5,60.55,1.03,,0.4867,99,28,"1,763","1,005",825,938,72,758,"510,100","134,645",523,,"2,173","1,017",1.99,,918,99,,"1,959",214,"16,720","16,617","16,098","16,045","16,117","10,835",97,33.5,26.2,,11,16.5,33.5,"16,296","215,990","428,755","1,594","1,388",,"-2,847","2,929","-38,787",82,"10,994"
1928,"655,686","19,223","15,073","6,040","21,113",707,"18,516",29.9,7.8,56.95,1.0299,,0.4871,101,29,"1,817","1,004",879,938,66,813,"519,960","135,726",535,,"2,197","1,193",1.98,,"1,076",117,,"1,979",218,"16,989","16,801","16,697","16,178","16,126","11,991",95.2,32.7,26.2,,13,18,32.7,"25,101","214,409","441,277","1,658","1,388",,"7,126","-7,041","-45,828",85,"10,993"
1929,"663,652","19,071","15,468","6,511","21,979",762,"18,309",29,7.8,57.25,1.029,,0.4876,104,30,"1,827","1,004",897,930,74,823,"529,820","133,832",547,,"2,226","1,058",2.09,,953,105,,"2,004",222,"15,498","17,076","16,887","16,784","16,265","12,902",95.7,32,26.5,,11.5,19.5,32,"25,889","212,369","451,283","1,647","1,387",,"10,979","-10,893","-56,721",86,"10,993"
1930,"670,017","20,021","15,313","6,758","22,071",791,"19,230",29.7,7.6,59.85,1.0297,,0.488,104,30,"1,868","1,000",942,926,74,868,"539,679","130,338",560,,"2,048",896,2.14,,807,89,,"1,842",206,"15,829","15,588","17,166","16,977","16,874","25,993",97.1,31.3,26,,9.5,39.6,31.3,"27,760","209,715","460,302","1,586","1,387",,"12,733","-12,646","-69,367",87,"10,996"
1931,"688,435","19,804","15,283","7,596","22,879",889,"18,915",29,6.6,61.25,1.029,,0.4886,104,31,"1,865","1,004",931,934,70,861,"549,539","138,896",566,,"1,703",678,2.27,,610,68,,"1,531",172,"16,170","15,930","15,689","17,267","17,078","27,075",96,30.9,25.5,,7,41.6,30.9,"22,916","212,726","475,709","1,385","1,381",,"1,695","-1,607","-70,974",88,"11,011"
1932,"703,949","19,722","15,283","7,825","23,108",916,"18,806",28.3,7,62.25,1.0283,,0.4891,104,31,"1,879","1,012",943,936,76,867,"559,399","144,550",574,,"1,260",399,2.35,,359,40,,"1,132",128,"16,513","16,274","16,034","15,793","17,371","29,427",95.5,30.5,25.1,,4.1,45.5,30.5,"23,992","214,704","489,245","1,486","1,377",,"4,731","-4,640","-75,614",91,"11,024"
1933,"717,619","19,528","15,480","7,889","23,369",923,"18,605",27.3,6.7,63.4,1.0273,,0.4897,105,31,"1,889","1,014",954,935,79,875,"569,258","148,361",583,,"1,063",525,2.03,,472,53,,954,109,"16,857","16,618","16,379","16,139","15,898","33,978",95.9,30,24.9,,5.6,51.5,30,"25,314","215,286","502,333","1,429","1,399",,"6,871","-6,779","-82,394",92,"11,042"
1934,"730,738","20,103","14,753","7,407","22,160",867,"19,236",27.7,7.1,61.3,1.0277,,0.4903,110,31,"1,927","1,035",973,954,81,892,"579,118","151,620",581,,"1,383",843,1.97,,757,86,,"1,240",143,"18,371","16,956","16,717","16,478","16,238","34,337",95.9,30.1,25.6,,9.2,50.1,30.1,"21,202","219,952","510,786","1,548","1,419",,"6,074","-5,980","-88,374",94,"11,057"
1935,"746,384","20,973","14,249","7,535","21,784",882,"20,091",27.9,7.3,61.9,1.0279,,0.4909,115,32,"1,964","1,064",987,977,87,900,"595,071","151,313",582,,"1,775",960,2.08,,861,99,,"1,591",184,"19,877","18,471","17,056","16,817","16,578","30,789",97.5,30.1,26.1,,10.3,42.6,30.1,"22,079","224,662","521,722","1,623","1,572",,"2,943","-2,847","-91,221",96,"11,072"
1936,"760,690","20,499","14,034","7,081","21,115",829,"19,670",30.6,7.2,58.6,1.0306,,0.4914,118,33,"2,014","1,081","1,013","1,001",80,933,"607,202","153,488",582,,"1,940",899,2.12,,806,93,,"1,737",203,"21,178","19,971","18,566","17,150","16,911","28,884",85.3,30.1,26.2,,9.5,37.6,30.1,"21,543","228,968","531,722","1,633","1,602",,"3,574","-3,476","-94,697",98,"11,090"
1937,"767,752","21,005","14,631","7,322","21,953",857,"20,148",30.9,6.9,60.2,1.0309,,0.492,118,35,"2,052","1,101","1,035","1,017",84,951,"616,088","151,664",581,,"2,083","1,079",2.03,,966,113,,"1,864",219,"20,528","21,275","20,068","18,663","17,248","27,043",85.3,30.1,25.9,,11.1,33.6,30.1,"24,516","231,093","536,659","1,587","1,693",,"11,611","-11,512","-106,208",99,"11,112"
1938,"784,764","22,122","15,613","8,259","23,872",967,"21,155",30.9,6.8,63.6,1.0309,,0.4926,126,36,"2,084","1,137","1,048","1,036",101,947,"632,994","151,770",582,,"2,257","1,146",1.93,,"1,026",120,,"2,018",239,"19,919","20,638","21,385","20,178","18,773","30,789",88.2,30.1,26.9,,11.2,37.5,30.1,"23,570","236,214","548,550","1,589","2,048",,"3,223","-3,122","-109,330",101,"11,137"
1939,"803,528","20,988","15,199","7,945","23,144",930,"20,058",31.5,6.5,63.75,1.0315,,0.4931,129,35,"2,156","1,154","1,101","1,055",99,"1,002","645,618","157,910",584,,"2,150","1,088",1.94,,973,115,,"1,920",230,"20,674","20,024","20,744","21,491","20,284","26,120",80.2,30,27,,9.8,31.5,30,"22,437","241,058","562,470","1,549","2,402",,429,-326,"-109,656",103,"11,167"
1940,"862,664","21,544","14,412","7,877","22,289",922,"20,622",31.9,6.5,63,1.0319,,0.4937,134,35,"1,919","1,191",846,"1,073",118,728,"703,017","159,647",620,,"2,216","1,194",1.93,,"1,066",128,,"1,978",238,"21,094","20,779","20,129","20,848","21,596","25,629",77.6,28.2,25.7,,10.1,30.9,28.2,"25,573","243,271","619,393","1,527","2,702",,"-41,076","41,184","-68,472",108,"11,202"
1941,"892,080","22,629","15,141","7,555","22,696",884,"21,745",33.2,5.5,64.95,1.0332,,0.4939,139,36,"1,981","1,224",875,"1,106",118,757,"736,544","155,536",631,,"2,367","1,257",1.93,,"1,122",135,,"2,111",256,"20,546","21,195","20,879","20,230","20,949","26,128",74.7,27.7,25.5,,10.4,31.5,27.7,"24,898","247,106","644,974","1,337","2,823",,"-10,880","10,994","-57,478",114,"11,254"
1942,"917,715","23,808","14,475","11,547","26,022","1,352","22,456",34.3,6,66.3,1.0343,,0.494,143,37,"2,018","1,242",890,"1,128",114,776,"754,826","162,889",636,,"1,802",629,1.94,,561,68,,"1,605",197,"20,155","20,700","21,349","21,033","20,383","27,456",72.4,27.5,25.6,,5.4,33,27.5,"28,478","252,372","665,343","1,493","2,906",,"-4,012","4,130","-53,348",118,"11,304"
1943,"937,050","26,361","14,485","6,772","21,257",793,"25,568",38.1,5.7,63.4,1.0381,,0.4942,146,38,"2,068","1,261",931,"1,137",124,807,"774,161","162,889",644,,852,261,1.2,,232,29,,758,94,"20,214","20,245","20,790","21,439","21,123","25,478",72.4,27.2,25.5,,2.2,30.8,27.2,"29,068","254,878","682,172","1,438","2,846",,"-2,362","2,483","-50,865",121,"11,360"
1944,"954,004","27,522","16,511","5,493","22,004",643,"26,879",36.2,6.4,65.2,1.0362,,0.4943,148,38,"2,046","1,273",896,"1,150",128,773,"792,362","161,642",651,,478,427,1.45,,380,47,,425,53,"20,001","20,287","20,318","20,863","21,512","21,428",78.5,26.9,25.2,,3.5,26.3,26.9,"29,515","256,627","697,377","1,628","3,085",,337,-214,"-51,079",123,"11,410"
1945,"979,454","24,779","16,106","4,957","21,063",580,"24,199",32.1,6.4,65.75,1.0321,,0.4945,153,38,"2,204","1,295","1,030","1,174",121,909,"811,045","168,409",656,,592,400,3.29,,356,44,,526,66,"20,903","20,067","20,353","20,384","20,929","22,295",78,26.7,25.5,,3.3,27.3,26.7,"23,071","261,514","717,940","1,652","3,406",,"-9,445","9,571","-41,508",126,"11,462"
1946,"996,505","26,163","17,579","5,929","23,508",694,"25,469",33.8,5.9,66.9,1.0338,,0.4947,161,39,"2,299","1,340","1,079","1,220",120,959,"823,819","172,686",643,,"3,213","2,297",1.87,,"2,041",256,,"2,852",361,"20,579","20,981","20,146","20,432","20,463","22,629",76.3,27.2,26.4,,19.5,27.5,27.2,"20,843","271,049","725,456","1,586","3,381",,"1,490","-1,362","-42,870",128,"11,522"
1947,"1,016,170","36,458","18,264","10,471","28,735","1,226","35,232",43.9,5.8,67.05,1.0439,,0.4948,169,43,"2,574","1,425","1,281","1,293",132,"1,149","843,021","173,149",619,,"4,132","2,132",2.22,,"1,892",240,,"3,664",468,"20,508","20,718","21,121","20,285","20,571","23,732",79.7,28.3,27.1,,18.3,28.7,28.3,"28,619","287,576","728,594","1,652","3,356",,"4,062","-3,931","-46,801",131,"11,586"
1948,"1,041,970","34,571","19,099","11,356","30,455","1,329","33,242",38.95,6.37,67.25,1.03895,,0.495,172,44,"2,774","1,451","1,461","1,313",138,"1,323","854,099","187,871",617,,"4,759","2,161",1.98,,"1,916",245,,"4,216",543,"20,354","20,659","20,869","21,272","20,436","25,060",82.9,28.4,27.2,,18.5,30.1,28.4,"35,588","295,919","746,051","1,862","3,539",,-746,880,"-45,921",134,"11,646"
1949,"1,078,671","36,885","20,534","16,261","36,795","1,904","34,981",38.43,5.97,67.95,1.03843,,0.4951,175,46,"2,828","1,501","1,471","1,357",144,"1,327","876,661","202,010",612,,"4,477","2,363",1.97,,"2,093",270,,"3,963",514,"21,096","20,571","20,876","21,085","21,488","24,903",85.8,28.6,26.9,,19.8,29.8,28.6,"38,617","308,500","770,171","1,810","3,690",,"-5,406","5,544","-40,377",138,"11,714"
1950,"1,111,314","37,444","22,808","14,700","37,508","1,721","35,723",37.34,5.95,68.35,1.03734,,0.4953,180,43,"2,911","1,541","1,515","1,396",145,"1,370","898,478","212,836",611,,"5,313","3,015",2.08,,"2,669",346,,"4,698",615,"22,054","21,292","20,766","21,071","21,281","26,488",87.4,28.6,27,,24.7,31.1,28.6,"40,803","317,836","793,478","1,863","3,779",,-777,919,"-39,458",142,"11,786"
1951,"1,147,157","39,658","23,205","17,175","40,380","2,011","37,647",37.81,5.93,68.5,1.03781,,0.4958,191,42,"3,080","1,666","1,589","1,491",175,"1,414","933,792","213,365",590,,"5,065","1,801",2.12,,"1,593",208,,"4,474",591,"21,760","22,282","21,520","20,995","21,300","28,677",88.2,29.7,27.6,,14.8,33.1,29.7,"31,827","340,706","806,451","1,989","4,179",,"-1,631","1,778","-37,680",147,"11,863"
1952,"1,189,053","43,114","25,896","16,813","42,709","1,968","41,146",39.34,5.85,68.7,1.03934,,0.4963,202,43,"3,318","1,767","1,753","1,565",202,"1,551","974,118","214,935",583,,"2,897",872,2.14,,770,102,,"2,557",340,"22,365","21,984","22,506","21,744","21,218","29,812",89.5,30,28,,7.2,33.6,30,"41,715","356,716","832,337","2,050","4,665",,"-5,902","6,054","-31,627",152,"11,945"
1953,"1,246,362","44,535","25,771","16,436","42,207","1,924","42,611",39.24,5.68,69,1.03924,,0.4968,211,42,"3,283","1,884","1,628","1,655",229,"1,399","1,034,381","211,981",583,,"2,742","1,750",2.05,,"1,545",205,,"2,417",325,"23,490","22,584","22,202","22,725","21,962","32,076",89.2,30,27.5,,14.2,35.2,30,"41,545","373,909","872,453","2,075","4,764",,"-21,941","22,099","-9,528",158,"12,035"
1954,"1,302,240","48,057","27,223","18,573","45,796","2,174","45,883",39.46,5.46,69.75,1.03946,,0.4973,219,42,"3,469","1,993","1,712","1,757",236,"1,476","1,079,583","222,657",574,"368,248","3,868","2,022",2.12,,"1,782",240,,"3,406",462,"22,527","23,737","22,831","22,449","22,972","34,467",91.2,30.5,27.4,28.9,15.8,37.7,28.9,"62,015","376,347","925,893","2,011","4,915",,"-17,008","17,174","7,647",166,"12,135"
1955,"1,357,274","48,421","32,807","21,669","54,476","2,537","45,884",37.64,5.53,69.75,1.03764,,0.4979,224,44,"3,553","1,082","1,718","1,835",247,"1,471","1,126,265","231,009",574,"388,433","4,687","2,414",2.05,,"2,126",288,,"4,123",564,"23,277","22,816","24,026","23,119","22,738","37,434",91.7,30.5,26.8,29.2,18.5,40.1,29.2,"47,793","396,324","960,950","2,147","4,972",,"-7,677","7,850","15,497",173,"12,240"
1956,"1,416,731","49,861","33,534","25,181","58,715","2,948","46,913",36.6,5.27,69.8,1.0366,,0.4984,239,45,"4,064","2,210","2,117","1,947",263,"1,854","1,177,856","238,875",565,"478,423","5,103","2,572",2.12,,"2,263",309,,"4,484",619,"24,635","23,612","23,151","24,361","23,454","38,285",92.4,31,27.4,34.5,19.5,40,34.5,"-20,108","488,772","927,959","2,522","5,291",,"-8,555","8,735","24,231",180,"12,355"
1957,"1,488,314","51,044","33,245","30,129","63,374","3,528","47,516",34.92,5.38,69.55,1.03492,,0.4989,251,45,"4,102","2,362","2,021","2,081",281,"1,740","1,233,397","254,917",554,"548,318","5,387","2,518",2.08,,"2,213",305,,"4,728",659,"25,658","25,036","24,013","23,551","24,761","40,247",93.7,31.6,27.5,37.7,18.3,41,37.7,"5,716","561,094","927,220","2,946","5,124",,"-16,279","16,468","40,700",189,"12,477"
1958,"1,555,799","52,885","36,135","33,330","69,465","3,902","48,983",35,5.54,69.75,1.035,,0.4994,273,47,"4,270","2,513","2,065","2,205",308,"1,757","1,292,098","263,701",546,"566,216","5,485","2,778",1.96,,"2,438",340,,"4,809",676,"29,064","26,101","25,479","24,456","23,995","44,871",91.9,32.1,28.5,37.2,20,42.7,37.2,"65,217","578,757","977,042","3,137","5,329",,"-6,486","6,684","47,384",198,"12,605"
1959,"1,616,088","53,399","39,201","33,060","72,261","3,871","49,528",34,5.5,70,1.034,,0.4999,290,50,"4,509","2,614","2,200","2,309",305,"1,895","1,336,675","279,413",542,"594,978","5,500","2,847",2.05,,"2,496",351,,"4,817",683,"30,739","29,504","26,541","25,919","24,896","52,167",91.9,32.3,29.3,37.5,20.4,46.3,37.5,"55,706","606,033","1,010,055","3,271","5,323",,"3,378","-3,172","44,212",206,"12,741"
1960,"1,693,180","54,173","42,189","48,586","90,775","5,689","48,484",34.62,5.33,69.85,1.03462,,0.5004,319,58,"4,693","2,882","2,189","2,504",378,"1,811","1,408,772","284,408",522,"608,000","7,683","4,706",1.98,,"4,122",584,,"6,721",962,"28,647","31,385","30,150","27,187","26,565","58,855",84.6,33.5,30.6,36.7,32.1,50.1,36.7,"83,943","621,397","1,071,783","3,237","5,306",,"5,140","-4,925","39,287",215,"12,888"
1961,"1,823,661","55,040","46,365","88,807","135,172","10,399","44,641",32.2,5.68,70.3,1.0322,,0.501,345,67,"5,015","3,143","2,324","2,691",452,"1,872","1,514,551","309,110",518,"680,999","10,383","5,793",2.07,,"5,068",725,,"9,072","1,311","31,047","29,828","32,566","31,331","28,368","62,253",78.8,33.8,30.8,38.7,37,49.9,38.7,"55,393","705,757","1,117,904","3,865","5,146",,"-4,320","4,549","43,836",229,"13,043"
1962,"1,965,786","58,316","46,907","115,834","162,741","13,564","44,752",33.16,5.42,70.1,1.03316,,0.5015,364,74,"5,225","3,423","2,334","2,891",532,"1,802","1,629,965","335,821",515,"738,363","11,818","5,630",2.04,,"4,919",711,,"10,313","1,505","42,289","32,588","31,368","34,106","32,872","72,197",71.2,34,30.1,39,32.2,51.4,39,"108,999","766,657","1,199,129","4,005","5,026",,"11,585","-11,339","32,497",246,"13,218"
1963,"2,117,451","56,205","49,640","105,210","154,850","12,320","43,885",34.56,5.09,70,1.03456,,0.5021,389,77,"5,397","3,615","2,348","3,049",566,"1,782","1,736,567","380,884",520,"758,335","11,653","5,781",1.95,,"5,045",736,,"10,157","1,496","41,574","43,688","33,987","32,768","35,506","81,412",62.2,33.7,30.2,37.1,29.6,53.6,37.1,"138,378","785,574","1,331,877","3,855","5,296",,"-5,966","6,231","38,728",265,"13,415"
1964,"2,234,916","56,597","49,094","93,483","142,577","10,946","45,651",30.14,5.17,70.3,1.03014,,0.5026,400,79,"5,765","3,749","2,605","3,160",589,"2,016","1,801,571","433,345",520,"807,659","11,371","5,886",1.84,,"5,130",756,,"9,898","1,473","44,424","42,817","44,931","35,230","34,011","91,236",69.6,33.7,30,37.1,29.7,54.5,37.1,"102,043","829,154","1,405,762","4,174","4,875",,"16,063","-15,780","22,948",283,"13,628"
1965,"2,395,932","61,216","49,413","82,455","131,868","9,655","51,561",27.23,5.17,70.25,1.02723,,0.5032,412,76,"6,034","3,897","2,733","3,301",596,"2,137","1,977,418","418,514",548,"825,455","12,108","7,139",1.67,,"6,214",925,,"10,526","1,582","46,065","45,520","43,914","46,028","36,327","97,314",81.8,31.9,28.1,35.7,35.6,53.6,35.7,"112,902","855,348","1,540,584","4,274","4,790",,"-38,212","38,513","61,461",301,"13,858"
1966,"2,480,899","50,824","48,273","68,843","117,116","8,061","42,763",25.23,5.07,70.25,1.02523,,0.5038,425,75,"6,075","4,022","2,666","3,409",613,"2,053","2,032,359","448,540",545,"847,861","11,824","7,021",1.67,,"6,104",917,,"10,266","1,558","48,733","46,980","46,436","44,829","46,944","103,500",69.5,32.1,28.2,34.8,29.5,55.4,34.8,"107,043","863,353","1,617,546","4,302","4,647",,"23,200","-22,883","38,578",317,"14,104"
1967,"2,614,340","56,387","53,591","62,280","115,871","7,292","49,095",27.55,5.05,70.6,1.02755,,0.5043,448,77,"6,153","4,166","2,609","3,544",622,"1,987","2,144,766","469,574",555,"777,354","11,202","6,475",1.66,,"5,622",853,,"9,713","1,489","52,854","49,562","47,808","47,264","45,658","110,754",69.9,31.5,28.2,30.5,24.5,56.1,30.5,"180,391","797,374","1,816,966","3,924","4,694",,"-26,188","26,519","65,097",331,"14,363"
1968,"2,684,073","57,992","53,482","64,021","117,503","7,496","50,496",27.49,5.17,70.3,1.02749,,0.5049,473,83,"6,497","4,385","2,776","3,721",664,"2,112","2,207,976","476,097",543,"878,901","11,469","7,178",1.68,,"6,224",954,,"9,931","1,538","54,989","53,705","50,413","48,660","48,116","118,567",69.3,32.2,28.9,33.2,26.8,57.1,33.2,"23,384","891,112","1,792,961","4,547","4,201",,"39,022","-38,678","26,419",344,"14,632"
1969,"2,807,456","62,113","54,606","70,010","124,616","8,198","53,915",28.18,5.04,70.55,1.02818,,0.5054,496,88,"6,608","4,592","2,698","3,910",682,"2,016","2,344,635","462,821",550,"889,778","11,882","6,967",1.68,,"6,033",934,,"10,275","1,607","59,070","55,920","54,636","51,344","49,591","126,727",69.7,31.8,28.6,32.4,25,57.4,32.4,"108,778","909,616","1,897,840","4,484","4,209",,"-7,460","7,817","34,236",357,"14,915"
1970,"2,930,810","65,981","55,210","79,126","134,336","9,265","56,716",28.41,4.78,70.9,1.02841,,0.506,537,92,"6,865","4,922","2,707","4,158",764,"1,943","2,485,525","445,285",546,"818,738","12,301","7,590",1.69,,"6,563","1,027",,"10,622","1,679","60,007","60,123","56,973","55,689","52,397","132,053",69.6,32.1,29.2,28.5,26.1,56.7,28.5,"215,160","835,281","2,095,529","3,909","4,593",,"2,480","-2,107","32,130",373,"15,216"
1971,"3,090,953","68,659","53,524","83,514","137,038","9,779","58,880",28.5,4.92,71.2,1.0285,,0.5058,562,98,"7,077","5,135","2,735","4,342",793,"1,942","2,622,439","468,514",552,,"13,544","8,344",1.7,,"7,205","1,139",,"11,679","1,865","61,970","61,118","61,234","58,083","56,799","141,514",68.6,31.7,28.9,,26.7,58.4,31.7,"2,535","979,832","2,111,121","4,696","4,615",,"-32,416","32,807","64,937",391,"15,532"
1972,"3,227,790","69,695","58,343","91,237","149,580","10,683","59,012",26.43,4.74,71.25,1.02643,,0.5056,592,101,"7,285","5,394","2,920","4,365","1,029","1,891","2,716,769","511,021",555,,"13,704","7,874",1.69,,"6,790","1,084",,"11,800","1,904","63,543","63,184","62,331","62,447","59,297","155,082",70.7,31.5,29.4,,23.7,61.7,31.5,"118,882","1,016,754","2,211,036","4,717","4,827",,"3,199","-2,788","62,149",411,"15,869"
1973,"3,321,556","68,623","48,578","79,603","128,181","9,321","59,302",25.64,4.91,71.45,1.02564,,0.5054,630,108,"7,524","5,707","2,944","4,580","1,127","1,817","2,856,210","465,346",553,,"14,917","9,471",1.72,,"8,155","1,316",,"12,825","2,092","65,738","64,602","64,242","63,390","63,506","165,310",70.6,31.6,29.8,,26.9,64.1,31.6,"109,861","1,049,612","2,271,944","5,081","4,970",,"24,364","-23,938","38,211",426,"16,217"
1974,"3,385,909","72,717","47,234","69,018","116,252","8,082","64,635",26.11,4.5,72.05,1.02611,,0.5052,675,113,"7,773","5,951","3,017","4,756","1,195","1,822","2,960,143","425,766",551,,"16,583","9,811",1.72,,"8,435","1,376",,"14,236","2,347","66,805","66,656","65,520","65,160","64,308","172,788",73.8,31.8,30.8,,26.7,65.4,31.8,"109,393","1,076,719","2,309,190","4,799","5,117",,"41,983","-41,547","-3,337",436,"16,580"
1975,"3,572,202","79,723","50,263","95,412","145,675","11,172","68,551",27.79,4.36,72.7,1.02779,,0.5051,737,134,"8,151","6,390","3,056","5,095","1,295","1,761","3,126,469","445,733",542,,"21,467","14,446",1.77,"2,000","10,019","2,427","2,000","16,656","2,811","66,630","68,074","67,925","66,789","66,429","174,018",70.9,32.3,31.8,,31,64.6,32.3,"92,682","1,153,821","2,418,381","4,899","5,219",,"-50,736","51,188","47,851",452,"16,959"
